"Code_Network";"NameCity";"CodeCity";"Country";"Continent";"Region";"City.Statut";"Sources";"Years";"Network";"Description";"LeadPartnerCountry";"Url";"Start";"End";"geonameId";"asciiName";"lng_GN";"lat_GN"
"11";"San Dona di Piave";"IT45";"IT";"Europe";"Southern Europe";"Lead Partner";"http://urbact.eu";2016;"CityCentreDoctor";"An URBACT APN with a focus on revitalising city centres";"IT";"http://urbact.eu/citycentredoctor";2015;2018;"3168429";"San Dona di Piave";12,5681;45,63019
"11";"Medina del Campo";"ES27";"ES";"Europe";"Southern Europe";"Partner";"http://urbact.eu";2016;"CityCentreDoctor";"An URBACT APN with a focus on revitalising city centres";"IT";"http://urbact.eu/citycentredoctor";2015;2018;"3117010";"Medina del Campo";-4,91413;41,31239
"11";"Petrinja";"HR4";"HR";"Europe";"Southern Europe";"Partner";"http://urbact.eu";2016;"CityCentreDoctor";"An URBACT APN with a focus on revitalising city centres";"IT";"http://urbact.eu/citycentredoctor";2015;2018;"3193420";"Petrinja";16,29;45,4375
"11";"Nort-sur-Erdre";"FR25";"FR";"Europe";"Western Europe";"Partner";"http://urbact.eu";2016;"CityCentreDoctor";"An URBACT APN with a focus on revitalising city centres";"IT";"http://urbact.eu/citycentredoctor";2015;2018;"2990085";"Nort-sur-Erdre";-1,49833;47,43881
"11";"Radlin";"PL19";"PL";"Europe";"Eastern Europe";"Partner";"http://urbact.eu";2016;"CityCentreDoctor";"An URBACT APN with a focus on revitalising city centres";"IT";"http://urbact.eu/citycentredoctor";2015;2018;"3087529";"Radlin";18,47626;50,0502
"11";"Naas";"IE7";"IE";"Europe";"Northern Europe";"Partner";"http://urbact.eu";2016;"CityCentreDoctor";"An URBACT APN with a focus on revitalising city centres";"IT";"http://urbact.eu/citycentredoctor";2015;2018;"2962334";"Naas";-6,66694;53,21583
"11";"Valašské Mezirící";"CZ10";"CZ";"Europe";"Eastern Europe";"Partner";"http://urbact.eu";2016;"CityCentreDoctor";"An URBACT APN with a focus on revitalising city centres";"IT";"http://urbact.eu/citycentredoctor";2015;2018;"3063447";"Valasske Mezirici";17,97113;49,47181
"11";"Idrija";"SI2";"SI";"Europe";"Southern Europe";"Partner";"http://urbact.eu";2016;"CityCentreDoctor";"An URBACT APN with a focus on revitalising city centres";"IT";"http://urbact.eu/citycentredoctor";2015;2018;"3199171";"Idrija";14,03056;46,00278
"11";"Amarante";"PT3";"PT";"Europe";"Southern Europe";"Partner";"http://urbact.eu";2016;"CityCentreDoctor";"An URBACT APN with a focus on revitalising city centres";"IT";"http://urbact.eu/citycentredoctor";2015;2018;"2742965";"Amarante";-8,08245;41,27271
"11";"Heerlen";"NL8";"NL";"Europe";"Western Europe";"Partner";"http://urbact.eu";2016;"CityCentreDoctor";"An URBACT APN with a focus on revitalising city centres";"IT";"http://urbact.eu/citycentredoctor";2015;2018;"2754652";"Heerlen";5,98154;50,88365
