"filename"	"Name"	"Code_Network"	"Description"	"LeadPartnerCountry"	"Start"	"Continent"	"Region"	"NbCities"	"Phase"	"Type"	"LocGovType_HorizontalPwrRelation"	"LocGovType_VerticalPwrRelation"	"LocGovType_PoliticalLeadership"	"LocGovType_MunicipalAdmin"	"CodeCity"	"geonameId"	"asciiName"	"adminLevel"	"countryCode"	"population"	"CODE_LAU"	"NAME_LAU"	"PopAdmin06"	"PopAdmin11"	"ID_UMZ"	"NAME_UMZ"	"POPUMZ11"	"ID_FUA"	"NAME_FUA"	"POPFUA06"	"Governance"	"Economy"	"Inclusion"	"Environment"	"Integrated Urban Development"	"ClassePop"	"SizeClassURBACT"
"TexturbactNet_1"	"2nd Chance"	"1"	"Activation of vacant buildings and building complexes for a sustainable urban development"	"IT"	2015	"Europe"	"Southern Europe"	11	"Urbact III"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"IT23"	"3172394"	"Naples"	"seat of a first-order admin. division"	"IT"	"959470"	"IT063049"	"Napoli"	964133.290145843	954947.532346521	"2430"	"Napoli"	2435950	"IT003L2"	"Napoli"	3554343	1	0	0	0	0	"1.Very Large City"	"1. More than 250 000"
"TexturbactNet_5"	"AGRI -URBAN"	"5"	"The local food in urban forks"	"ES"	2015	"Europe"	"Southern Europe"	11	"Urbact III"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"ES6"	"2521415"	"Baena"	"seat of other admin. division"	"ES"	"20915"	"ES14007"	"Baena"	20518.4792089655	19863.1232440228	"Outside"	"Outside"	NA	"Outside"	"Outside"	NA	0	1	0	1	0	"4.Small City"	"3. Less than 50 000"
"TexturbactNet_6"	"ARRIVAL CITIES"	"6"	"Managing global flows at local level"	"PT"	2015	"Europe"	"Southern Europe"	10	"Urbact III"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"PT2"	"2271772"	"Amadora"	"populated place"	"PT"	"178858"	"PT1115"	"Amadora"	172508.790932132	174921.434059462	"3224"	"Lisboa // Sintra"	1851170	"PT001L2"	"Lisboa"	2785724	0	0	1	0	0	"2.Large City"	"2.Between 50 000 and 250 000"
"TexturbactNet_7"	"BoostInno"	"7"	"Boosting Social Innovation"	"PL"	2015	"Europe"	"Eastern Europe"	10	"Urbact III"	"Action Planning"	"Strong Mayor Form"	"East-Central European Group"	"Executive Mayors"	"Central Eastern European"	"PL7"	"3099434"	"Gdansk"	"seat of a first-order admin. division"	"PL"	"461865"	"PL1004221436101"	"Gdańsk"	449792.580802907	453961.174450335	"2931"	"Gdansk // Gdynia"	794554	"PL006L2"	"Gdansk"	1083031	1	1	0	0	1	"2.Large City"	"1. More than 250 000"
"TexturbactNet_10"	"CHANGE!"	"10"	"Social design of public services"	"NL"	2015	"Europe"	"Western Europe"	9	"Urbact III"	"Action Planning"	"Collective Form"	"North-Middle European Group"	"Collegial Leaders"	"Nordic"	"NL7"	"2756253"	"Eindhoven"	"populated place"	"NL"	"209620"	"NLGM0772"	"Eindhoven"	209891.961655151	216635.844119043	"2736"	"Eindhoven"	356198	"NL005L2"	"Eindhoven"	677541	1	1	1	0	0	"2.Large City"	"2.Between 50 000 and 250 000"
"TexturbactNet_83"	"CIA 7"	"83"	"New European Tools for Urban Development"	"FR"	2016	"Europe"	"Western Europe"	8	"Urbact III"	"Implementation"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"FR16"	"2998324"	"Lille"	"seat of a first-order admin. division"	"FR"	"228328"	"FR59350"	"Lille"	226657.951358961	228107.135691815	"1898"	"Lille // Roubaix // Tourcoing"	1388300	"FR009L2"	"Lille"	1331985	1	0	0	0	1	"2.Large City"	"2.Between 50 000 and 250 000"
"TexturbactNet_11"	"CityCentreDoctor"	"11"	"An URBACT APN with a focus on revitalising city centres"	"IT"	2015	"Europe"	"Southern Europe"	9	"Urbact III"	"Action Planning"	"Strong Mayor Form"	"FrancoType"	"Political Mayors"	"Continental European Napoleonic"	"IT45"	"3168429"	"San Dona di Piave"	"seat of other admin. division"	"IT"	"32819"	"IT027033"	"San Donà di Piave"	40590.2625656183	42376.218773282	"2534"	"San Dona di Piave"	51630.9	"Outside"	"Outside"	NA	0	1	0	0	1	"4.Small City"	"3. Less than 50 000"
"TexturbactNet_13"	"CityMobilNet"	"13"	"Network for co-productive development of sustainable urban mobility plans empowering cities to create joint visions, targets and sets of measures to manage their future city progress"	"DE"	2015	"Europe"	"Western Europe"	11	"Urbact III"	"Action Planning"	"Strong Mayor Form"	"North-Middle European Group"	"Executive Mayors"	"Continental European Federal"	"DE4"	"2949186"	"Bielefeld"	"seat of other admin. division"	"DE"	"331906"	"DE05711000"	"Bielefeld, Stadt"	325334.504869061	325349.398348725	"376"	"Bielefeld"	339383	"DE017L0"	"Bielefeld"	325280	0	0	0	1	1	"2.Large City"	"1. More than 250 000"
"TexturbactNet_84"	"CREATIVE SPIRITS"	"84"	"Boosting creative entrepreneurship through creative-based urban strategies"	"HU"	2016	"Europe"	"Eastern Europe"	9	"Urbact III"	"Implementation"	"Strong Mayor Form"	"East-Central European Group"	"Executive Mayors"	"Central Eastern European"	"HU14"	"3054643"	"Budapest"	"capital of a political entity"	"HU"	"1741041"	"HU-BU"	"Budapest"	1693425.65314213	1730696.6718231	"1999"	"Budapest"	2057700	"HU001L2"	"Budapest"	2809709	1	1	0	0	0	"1.Very Large City"	"1. More than 250 000"
"TexturbactNet_29"	"Freight TAILS"	"29"	"Delivering Tailored Approaches for Innovative Logisitcs Solutions
Economy ECONOMY"	"UK"	2015	"Europe"	"Northern Europe"	10	"Urbact III"	"Action Planning"	"Collective Form"	"AngloType"	"Collegial Leaders"	"Anglo Saxon"	"UK17"	"2643743"	"London"	"capital of a political entity"	"GB"	"7556900"	"E34004707"	"Greater London BUA"	8313042.53789679	9000768.90844429	"3780"	"Great London"	9423910	"UK001L2"	"London"	11256669	0	1	0	1	0	"1.Very Large City"	"1. More than 250 000"
